DO(ppm),pH,Temperature(*C),TDS,Health
3.6,7.2,26,203,0
3.4,5.4,29,286,0
3.9,8.1,32,215,0
3.4,6.2,27,52,0
3.7,7.3,45,233,0
3.8,7.8,28,300,0
3.7,8.3,16,62,0
3.9,8.4,30,71,0
3.6,7.2,30,92,0
3.6,6.9,42,55,0
4.5,10.7,29,215,0
3.6,7.6,29,282,0
3.8,7.9,19,287,0
2.5,6.4,28,224,0
3.7,7.8,20,281,0
3.6,7,29,81,0
3.8,7.1,26,99,0
3.8,7.5,31,67,0
3.8,8.7,27,69,0
4,8.3,30,218,0
3.7,6.8,39,241,0
3.2,5.5,26,88,0
3.9,8,15,261,0
3.9,8.7,18,269,0
3.8,8.3,29,69,0
3.5,7.9,26,241,0
4,8.6,32,69,0
3.7,7.1,21,66,0
2.8,6.2,29,67,0
3.9,6.8,28,82,0
3.8,8.3,21,79,0
4.2,12.9,28,88,0
4,8.3,32,69,0
2.6,6.1,26,64,0
3.5,7.9,31,91,0
3.8,8.5,38,86,0
3.7,7.5,26,92,0
4,7.6,24,268,0
3.6,7.4,31,267,0
3.5,7.4,30,63,0
4,6.9,27,66,0
3.6,8.1,44,220,0
3.8,7.1,27,249,0
2.6,6.7,29,93,0
2.8,5.2,29,290,0
4,7.9,28,296,0
3.6,7.5,16,286,0
4,7.6,24,257,0
3.6,7.8,22,60,0
5,9.5,26,261,0
2.6,5.8,28,69,0
3.6,7.7,30,288,0
3.9,6.8,26,261,0
3.8,7.1,38,68,0
3.5,8.2,30,64,0
3.5,8.1,32,284,0
3.6,8.4,27,85,0
3.8,7.8,30,263,0
3,6,26,205,0
3.3,5.5,29,277,0
3.6,7.3,32,286,0
2.8,5.8,31,98,0
3.5,8.7,28,210,0
4.5,10.1,26,81,0
3.6,8,30,267,0
4,8.7,32,64,0
3.9,7.7,36,55,0
4,7.9,18,80,0
3.7,6.8,27,215,0
3.3,5.6,30,67,0
3.6,6.8,32,258,0
5.1,10.9,31,92,0
4.3,12.5,32,241,0
4.4,10.7,29,214,0
3.7,8,28,96,0
3.7,6.8,34,58,0
4,6.8,27,205,0
4,8.2,17,264,0
3.6,8.2,30,272,0
3.6,8.2,20,227,0
4.9,7.8,27,241,0
3.7,7.3,17,291,0
3.7,7.1,29,242,0
5.6,13.7,29,85,0
3.5,8,26,257,0
3.6,7.9,29,273,0
4,7.5,20,227,0
3.5,8.7,28,260,0
5.6,10.7,28,77,0
3.5,8.6,26,223,0
3.6,7.4,30,239,0
3.6,7.3,28,56,0
3.5,8.7,28,60,0
4,7.2,29,98,0
4,8.4,32,67,0
3.6,7.8,30,98,0
5.8,8,29,50,0
3.5,6.8,33,256,0
3.5,8.6,17,250,0
2.5,6.2,27,219,0
3.9,7.4,39,54,0
3.8,6.8,37,53,0
3.7,7.9,32,57,0
3.6,6.8,32,280,0
3.5,7.9,30,278,0
3.5,8.1,39,65,0
3.9,7.7,27,296,0
3.5,8.1,27,221,0
3.8,7.7,30,77,0
3.6,7.3,29,91,0
4.3,9.5,30,255,0
3.2,5.3,32,269,0
3.9,8.6,22,78,0
3.2,6.1,28,281,0
3.7,8.2,15,202,0
3.6,7.3,32,91,0
4.3,11.8,32,284,0
3.5,8.7,34,248,0
4,6.9,28,89,0
4,7.5,31,205,0
5.8,7,30,66,0
3.7,7.9,15,288,0
3.9,8.4,29,100,0
2.9,6.1,26,212,0
3.7,7.6,40,254,0
4,7.4,32,233,0
3.6,7.5,31,86,0
4,8.1,29,292,0
3.5,8,26,80,0
5.6,10.5,31,300,0
3.8,7.1,15,210,0
5.2,10.4,26,299,0
3.6,7.8,32,89,0
4.9,13.2,31,297,0
4,7.8,32,79,0
2.7,5.1,27,91,0
3.7,8.6,31,292,0
3.7,8,29,52,0
3.6,7.7,27,289,0
2.9,5.9,29,269,0
3.7,8.1,27,219,0
3.1,5.4,31,235,0
3.4,5.3,29,212,0
2.7,6.7,26,72,0
3.8,8.5,27,66,0
3.5,8.3,16,287,0
4,6.8,29,248,0
3.9,7.7,28,88,0
3.6,8.1,39,98,0
3.7,8.5,17,53,0
3.5,8.2,35,55,0
3.8,7.5,24,79,0
3.5,7.3,26,201,0
3.2,5.9,30,214,0
3.9,6.8,41,235,0
4,7.5,18,53,0
3.6,7.6,29,62,0
3.8,8.5,28,210,0
3.7,7.4,30,70,0
3.7,7,30,89,0
3.7,7.9,23,96,0
3.5,8.3,29,229,0
3.9,6.8,30,298,0
3.8,7.9,21,222,0
3.8,8.3,30,98,0
3.7,7.4,32,277,0
3.5,8.1,34,72,0
3.8,8.7,26,62,0
3.9,7.5,29,248,0
4,8.5,41,262,0
3.6,8.4,27,298,0
3.9,8,43,220,0
4.7,13.6,29,91,0
3.8,6.8,24,229,0
3.6,7.1,31,56,0
3.8,7,37,258,0
2.8,5,27,66,0
2.7,6.1,32,70,0
3.6,7.2,32,216,0
3.6,7,28,214,0
3.6,7.5,17,266,0
3.7,8.2,31,254,0
3.9,7.1,16,210,0
3.5,7.2,30,272,0
2.9,5.1,29,227,0
3.5,8.5,27,230,0
4,7.2,16,53,0
3.5,8.3,42,257,0
3.2,5.5,29,227,0
4,8,29,229,0
3.7,7.5,21,269,0
3.9,7.6,32,255,0
3.6,7.3,28,207,0
3.2,6.4,30,280,0
3.7,8.2,31,68,0
5.9,12.6,29,269,0
3.4,6,30,222,0
3.6,7,28,276,0
2.6,5,31,97,0
2.6,6.4,31,97,0
3.5,7.6,29,254,0
4.4,7.2,29,279,0
5.8,13.4,29,275,0
3.2,5.7,27,55,0
3.5,8.5,26,67,0
3.1,6.2,29,263,0
3.1,5.9,31,244,0
4.4,12.3,31,67,0
3.2,5.2,30,73,0
3.5,8.1,26,62,0
4.9,11.9,27,280,0
3.5,8.3,37,260,0
2.5,6.5,29,63,0
3.4,6.1,30,66,0
3.8,6.8,31,238,0
3.9,7.2,27,288,0
3.7,8.6,27,94,0
3.7,8.2,31,212,0
3.5,8.4,43,60,0
4,8.1,32,241,0
3.1,5.3,32,72,0
5.3,8.9,29,277,0
3,6.1,28,211,0
2.5,6.4,32,291,0
4,7.1,29,202,0
3.5,7.1,20,65,0
3.6,6.9,31,51,0
2.6,5.8,31,74,0
4,8.6,31,237,0
3.3,5.1,27,74,0
3.1,6.1,27,54,0
2.9,6.6,30,206,0
3.8,8,26,286,0
4,6.8,26,87,0
4,8.2,33,231,0
3.6,8.7,29,225,0
3.6,8.7,30,63,0
4,8.6,27,205,0
57,10.5,30,240,0
4.7,10.5,30,297,0
4,7.6,23,56,0
3.4,5.4,26,256,0
5.7,9.1,28,270,0
3.8,7.4,32,71,0
3.1,5.4,32,284,0
4,7.6,30,300,0
3.6,8.1,29,78,0
3.5,6.9,26,58,0
3.7,7.6,32,95,0
3.8,8.4,30,81,0
5.6,9.2,30,246,0
3.4,5,29,62,0
3.5,8,45,84,0
3.6,7.8,44,200,0
3.4,5,28,94,0
3.9,8.4,29,285,0
3.7,8.7,28,291,0
3.6,8,43,90,0
3.5,8.6,27,73,0
4.2,7.4,32,91,0
4,7.2,29,263,0
3.5,8.7,31,75,0
3.8,8.3,41,59,0
3.8,7.3,28,94,0
3.8,7.5,43,218,0
3.2,5.7,28,89,0
3.8,7.1,32,80,0
3.8,6.8,31,282,0
2.7,5.6,31,280,0
2.6,6.3,32,88,0
4,8.6,32,55,0
3.3,5,30,245,0
2.6,6.1,30,74,0
3.5,7,28,82,0
4,7,40,215,0
3.5,7.8,40,241,0
3.9,7.4,24,258,0
4.4,8.2,27,55,0
2.7,6.6,27,258,0
3.9,8,27,213,0
4,7.1,27,206,0
3.9,8.6,27,287,0
4.8,8.3,31,258,0
3.9,7.9,36,71,0
5.3,10.7,31,66,0
5,8.6,29,287,0
4.3,11.3,27,53,0
3.6,6.8,24,256,0
5.7,13.3,28,229,0
3.7,8,28,63,0
3.8,8.7,28,226,0
3.9,8.6,28,87,0
3.8,7.1,28,98,0
3.5,8.3,31,228,0
3.7,7.6,31,297,0
3.5,8,27,246,0
3,5.8,27,253,0
3.9,7.4,32,216,0
2.7,6.7,27,270,0
3.7,7.5,20,202,0
5.2,13.2,30,60,0
3.3,5,29,61,0
3.1,5.7,32,270,0
4.4,13.4,26,68,0
2.7,5.7,31,91,0
45,8.9,27,79,0
3.9,6.8,19,261,0
3.6,8.7,28,262,0
3.5,8.5,15,203,0
5.7,13.8,32,295,0
3.8,7.2,28,50,0
3.6,8.5,32,81,0
3.5,7,34,200,0
3.8,8,28,274,0
3.7,7.7,30,77,0
2.9,6.3,31,278,0
3.2,5.6,32,240,0
3.8,8,28,70,0
3.5,7.4,16,96,0
4.5,13.7,27,58,0
3.3,6.4,32,74,0
3.8,7.4,19,244,0
4.3,10.1,31,66,0
5.1,9.2,28,51,0
2.6,5,29,227,0
43,13.8,32,287,0
3.4,5,27,287,0
3.7,7.3,32,77,0
3.7,7,38,71,0
5.3,8.7,31,94,0
3.7,7.9,42,204,0
2.9,5.3,27,299,0
3.8,7,28,54,0
4.5,13.4,31,50,0
2.5,5.8,26,81,0
3.8,8.6,31,78,0
3.9,8.2,25,278,0
3.7,8.2,30,61,0
4,6.9,30,299,0
3.9,7.7,27,218,0
5,12.3,26,69,0
3.9,7.3,28,226,0
3.6,8.3,32,231,0
3.6,6.9,28,72,0
3.2,5.3,27,75,0
4.2,11.3,26,274,0
3.6,7.3,19,93,0
5.4,7.6,30,68,0
3.5,7.7,25,292,0
3.9,6.9,27,260,0
2.5,6.1,32,57,0
3.5,7.4,26,251,0
3.7,7.3,29,88,0
3.9,8.1,30,264,0
4,7.9,27,214,0
4.4,12,28,287,0
3.9,8.4,31,94,0
4,7.6,27,269,0
3.5,7.9,27,238,0
3.8,7.7,29,225,0
3.3,5.2,32,227,0
3.4,5.4,31,236,0
3.7,7.9,29,282,0
5.3,9.3,32,72,0
3.7,7.3,28,267,0
4.2,9.9,32,251,0
3.1,5.4,30,291,0
3.8,7.2,30,52,0
3.2,6.3,26,82,0
3.5,7,32,280,0
3.7,7.6,30,297,0
3.8,7,41,204,0
3.9,8.3,32,88,0
3.5,8.1,27,213,0
3,5.8,31,207,0
3.9,7.2,32,225,0
3.8,7.4,28,286,0
4,8.4,27,88,0
4,8.2,17,289,0
3.8,7.8,29,64,0
4,8,28,54,0
2.8,6.5,26,60,0
3.8,7.2,30,60,0
4,8.1,31,97,0
3.8,7,36,273,0
3.9,8.1,30,249,0
5.2,12.6,28,58,0
3.5,7.5,28,84,0
4,8,41,256,0
3.6,6.9,19,240,0
2.5,5.9,26,66,0
3.6,7.2,31,296,0
3.7,7.7,18,254,0
3.5,7.9,21,70,0
5.9,12.8,30,213,0
5.9,7.2,28,76,0
2.5,6,31,51,0
3.6,8,28,272,0
3.5,6.8,33,248,0
2.8,5.3,32,273,0
5.1,13.7,27,260,0
3.6,8.7,31,277,0
3.6,7.3,32,227,0
3.6,7.1,37,279,0
4.9,8.4,28,75,0
3.5,7.1,17,270,0
2.7,5.6,26,235,0
3.7,8.3,19,229,0
3.5,7.2,30,204,0
3.5,6.9,18,93,0
3.5,6.9,23,55,0
4.4,8.1,28,73,0
3.6,7.1,32,86,0
5.5,9.6,32,72,0
2.5,6.2,27,256,0
3.7,6.9,30,206,0
5.4,13,30,252,0
4,7.5,26,88,0
51,11.3,32,299,0
3.5,6.8,27,286,0
3.6,8.2,28,100,0
3.8,7.5,41,257,0
3.7,7.9,31,208,0
3.5,8.1,20,99,0
3.5,6.8,24,209,0
3.8,7,41,277,0
3.1,6.3,32,236,0
3.9,8,29,80,0
4,8,45,245,0
3.7,8.3,27,206,0
3.6,7.9,28,241,0
3.7,6.8,35,58,0
3.7,7.1,32,208,0
3.5,8.1,27,81,0
4,7.5,24,98,0
2.5,6.6,26,237,0
3,5.2,30,71,0
3.8,7,25,98,0
3.8,7.1,32,98,0
2.6,5.9,26,58,0
3.8,6.9,30,56,0
3.8,6.8,28,201,0
3.8,6.8,31,234,0
3.8,7.5,29,237,0
5.9,13.2,29,238,0
3.9,7.5,30,287,0
3.9,8.6,29,98,0
3.3,5.2,26,80,0
4.9,7,31,57,0
3.6,7.7,31,52,0
3.7,7.6,28,264,0
47,7.3,27,83,0
3.3,5.9,31,100,0
3.8,7.7,29,78,0
3.6,7.2,39,290,0
4,7.8,30,237,0
4,7.6,29,247,0
3.7,8.3,27,212,0
3.8,8.4,22,70,0
3.8,8.2,20,51,0
3.7,7.4,32,83,0
3.7,8.4,26,58,0
3.8,7.1,29,61,0
4,7.3,19,236,0
3.9,7.8,24,100,0
3.6,7.3,16,262,0
3.7,7.4,39,81,0
3.8,8.4,26,98,0
3.1,5.8,28,212,0
4.6,8.7,28,76,0
3.9,7.1,34,264,0
3.9,8.6,41,262,0
3.7,8.5,31,73,0
5.5,7.5,31,100,0
3.9,7.5,31,56,0
4,8.4,32,96,0
4,7.9,29,88,0
3.9,8.1,32,210,0
4,7.3,29,275,0
6,8.6,28,54,0
3.3,6.3,30,87,0
3.9,7.9,15,273,0
5,12.4,30,97,0
3.6,8.1,29,91,0
4.7,10.4,26,278,0
3.6,6.9,27,220,0
3.7,8.2,42,58,0
3.9,7.3,16,90,0
4,7.7,31,215,0
3.6,7,35,87,0
3.5,7.1,29,98,0
3.9,7.8,41,291,0
2.9,6.3,32,210,0
3.6,7.1,27,80,0
3.8,7.4,20,58,0
4,8.5,29,260,0
3.8,8.3,26,100,0
3.8,8.7,35,258,0
2.7,6.3,27,91,0
3.7,6.8,20,264,0
3.8,6.9,30,228,0
3.5,8.7,16,242,0
5,8.6,27,76,0
3.9,7.5,27,67,0
5.8,11,29,298,0
3.9,8.5,28,50,0
3.8,8.6,28,97,0
3.5,7.1,18,212,0
3.7,8.1,24,292,0
3.6,6.8,26,82,0
3.6,7.9,32,213,0
3.8,6.9,23,85,0
4,8.6,28,91,0
5.2,10.7,31,78,0
3.8,8.2,19,267,0
3,5.9,32,250,0
4,7.3,15,62,0
4.9,9.4,27,85,0
6,10,26,276,0
3.9,8.2,32,217,0
2.5,5.9,26,287,0
3.7,7.6,30,229,0
4,8.4,16,92,0
3.2,5.7,32,95,0
4.5,11.1,31,64,0
3.7,8.3,33,86,0
3.1,5.8,29,245,0
3.2,6.6,29,56,0
3.9,8.4,42,91,0
5,10.8,31,269,0
3.2,6.5,29,221,0
3.6,8.6,44,227,0
2.5,6.4,26,287,0
4,8.5,28,96,0
5.9,8.4,32,62,0
3.6,6.8,36,276,0
2.6,6.5,27,74,0
4.3,12.5,31,265,0
3.5,8.1,31,73,0
5,11,31,296,0
3.6,8.7,40,256,0
4.8,9,28,80,0
3.6,7.9,27,73,0
3.8,7.5,32,100,0
5.6,8.2,28,81,0
4,7.1,15,77,0
5.8,11.7,30,99,0
2.5,5.8,30,98,0
3.8,7.3,26,231,0
3.5,8.7,28,225,0
3.9,7,29,59,0
3.4,6.5,31,79,0
3.7,7.2,33,92,0
3.6,8.5,29,263,0
4,8.3,44,60,0
5.9,13.5,26,98,0
5.9,9.9,29,294,0
5,7.7,28,235,0
4.9,13.5,26,81,0
3.9,7.8,16,205,0
3.5,8,21,251,0
3.6,7,27,224,0
3.5,7.4,29,295,0
3.7,6.9,21,62,0
5.1,10,27,75,0
3.8,8.2,43,221,0
4,7.8,32,67,0
4,8,32,88,0
3.8,8.4,22,296,0
3.5,8.3,26,249,0
4.8,7.4,27,97,0
3.7,8.4,31,55,0
4,6.8,27,67,0
3.9,7.9,30,76,0
3.8,7.8,20,249,0
2.5,6.7,31,87,0
3.9,7.3,38,235,0
3.8,7.2,32,276,0
2.8,5.1,32,255,0
3.7,7.9,34,236,0
5.1,8.9,26,55,0
3.6,8.1,30,51,0
2.8,6.6,29,203,0
3.9,8.4,24,294,0
3.6,7.8,24,53,0
4.7,13.9,29,258,0
3.9,7.8,31,96,0
3.5,8.1,20,60,0
3.7,8.3,22,72,0
5.7,13.5,28,85,0
4,7.4,32,88,0
4,8.7,28,50,0
2.8,5,28,275,0
3.7,7.2,31,247,0
3.6,7.5,19,93,0
3.3,5.6,31,60,0
3.9,7.2,32,269,0
3.7,7,30,227,0
3.8,6.9,26,72,0
3.9,8.6,29,75,0
3.7,7.5,32,89,0
3.6,7.6,31,203,0
4,7.9,44,67,0
3.7,7.9,31,277,0
3.8,7.4,28,212,0
5.7,8.1,29,59,0
3.8,7.4,27,270,0
3.2,6.7,31,85,0
3.2,6.6,29,246,0
4.9,9.5,32,50,0
5.9,13.6,28,98,0
3.6,7.7,27,259,0
3.7,7.4,26,65,0
3.5,8.7,31,277,0
3.8,8.6,26,208,0
3.8,7.6,30,287,0
2.9,6.7,30,83,0
5.4,9.6,27,86,0
3.8,8.4,26,271,0
3.8,8.5,26,80,0
2.6,6.4,27,300,0
3.5,8.5,27,204,0
5.8,7.3,30,90,0
4.3,8.4,31,51,0
2.6,5.5,31,54,0
4.9,7.2,26,227,0
3.7,8.6,16,279,0
2.7,5.9,32,97,0
3.2,5.2,32,55,0
3.7,7.5,29,81,0
4.3,8.7,29,261,0
6,13.5,29,61,0
3.6,7.2,31,52,0
5.2,10.5,29,69,0
2.5,6.4,32,90,0
4.8,11.7,27,70,0
3.8,6.9,32,228,0
3.6,7,28,65,0
3.6,7.3,31,256,0
3.8,7.5,32,237,0
3.5,8.1,34,296,0
2.8,6,30,275,0
3.1,6.6,27,292,0
3.6,8.5,26,299,0
5.8,7.4,29,72,0
3.7,8.6,45,269,0
2.7,6.4,26,87,0
3.8,7.8,27,241,0
3.7,8.7,26,208,0
3.5,8,31,56,0
3.5,8.4,27,79,0
2.9,6.4,27,90,0
3.7,6.8,27,98,0
4.6,11.2,30,251,0
3.6,6.9,32,89,0
3.8,7.1,31,227,0
3.8,7.8,24,228,0
3.9,8.5,24,52,0
3.5,7.6,26,290,0
3.5,8.1,20,51,0
3.3,5.2,31,97,0
3.5,7.7,45,55,0
3.9,7.2,32,80,0
3.8,7.9,24,51,0
5.4,12.8,30,96,0
5,8.4,32,205,0
3.4,5.6,26,272,0
3.6,6.8,22,76,0
3.9,6.8,18,100,0
2.9,5.9,26,240,0
4.5,14,28,280,0
4.7,12.2,32,277,0
3.6,6.8,27,263,0
3.9,6.9,16,274,0
3.7,7.2,33,79,0
4.8,9.2,30,57,0
3.5,7.2,36,54,0
2.6,6,29,219,0
3,5,26,220,0
5.1,7,31,93,0
3.5,8.5,17,240,0
2.8,6.1,31,61,0
3.6,6.9,30,100,0
3.6,8.1,41,95,0
3.7,7,29,207,0
3.7,8.3,16,293,0
3.9,8.6,34,60,0
3.8,6.9,24,92,0
3.7,7.8,27,76,0
2.7,5.2,31,241,0
3.8,7.6,27,95,0
3.6,7.4,15,281,0
3.9,8.3,21,50,0
5.2,10.4,30,81,0
3.6,8.1,27,58,0
5.8,12.8,28,256,0
3.8,8.7,31,275,0
3.8,7.3,35,90,0
3.8,7.7,28,60,0
4,7.8,27,252,0
3.5,8,16,71,0
2.7,6.7,27,76,0
3.7,7.8,27,269,0
4,7.3,16,223,0
3.6,8.5,16,69,0
2.9,6.4,27,97,0
2.7,6,26,276,0
3.7,7.2,27,87,0
3.7,6.9,21,64,0
3.4,5,26,270,0
5.8,11.8,28,91,0
3.7,8.1,15,75,0
3.9,7.9,29,263,0
3.7,8.6,27,251,0
3.7,7.2,22,223,0
3.6,8.6,29,224,0
3.8,8,29,93,0
3.9,8.3,37,76,0
3.6,8.7,28,220,0
3.3,5.2,30,75,0
4.4,11.3,31,273,0
5.9,7.2,29,206,0
490,12.1,29,66,0
3.6,7.7,28,296,0
4,8.7,28,65,0
3.8,8.5,29,51,0
